source_text,translated_text,context
Purchase orders help you plan and follow up on your purchases,Đơn mua hàng giúp bạn lên kế hoạch và theo dõi việc mua hàng,
Purchase Orders Items Overdue,Mặt hàng Đơn mua hàng quá hạn,
Purchase Price List,Bảng giá mua hàng,
Purchase Receipt,Phiếu nhập hàng,
Purchase Receipt (Draft) will be auto-created on submission of Subcontracting Receipt.,Phiếu nhập hàng (Bản nháp) sẽ tự động được tạo khi nộp Phiếu nhập gia công.,
Purchase Receipt {0} created.,Đã tạo Phiếu nhập hàng {0}.,
Purchase Receipt {0} is not submitted,Phiếu nhập hàng {0} chưa được nộp,
Purchase Receipt Detail,Chi tiết Phiếu nhập hàng,
Purchase Receipt doesn't have any Item for which Retain Sample is enabled.,Phiếu nhập hàng không có mặt hàng nào được bật Lưu giữ mẫu.,
Purchase Receipt Item,Mặt hàng Phiếu nhập hàng,
Purchase Receipt Item Supplied,Mặt hàng đã cấp theo Phiếu nhập hàng,
Purchase Receipt No,Số Phiếu nhập hàng,
Purchase Receipt Required,Bắt buộc Phiếu nhập hàng,
Purchase Receipt Required for item {},Bắt buộc Phiếu nhập hàng cho mặt hàng {},
Purchase Return,Trả hàng mua,
Purchase Tax Template,Mẫu thuế mua hàng,
Purchase Tax Withholding Category,Nhóm khấu trừ thuế mua hàng,
Purchase Taxes and Charges,Thuế và phí mua hàng,
Purchase Taxes and Charges Template,Mẫu thuế và phí mua hàng,
Purchase Time,Thời gian mua hàng,
Purchase Value,Giá trị mua hàng,
Purchase Voucher No,Số chứng từ mua hàng,
Purchase Voucher Type,Loại chứng từ mua hàng,
Purchased,Đã mua,
Purchases,Mua hàng,
Purchasing,Mua hàng,
Purpose,Mục đích,
Purpose must be one of {0},Mục đích phải là một trong {0},
Purposes,Mục đích,
Purposes Required,Bắt buộc Mục đích,
Putaway Rule,Quy tắc xếp kho,
Putaway Rule already exists for Item {0} in Warehouse {1}.,Quy tắc xếp kho đã tồn tại cho Mặt hàng {0} trong Kho {1}.,
PZN,PZN,
Qty (As per BOM),SL theo BOM,
Qty (Company),SL (Công ty),
Qty (in Stock UOM),SL theo ĐVT kho,
Qty (Warehouse),SL (Kho),
Qty After Transaction,SL sau giao dịch,
Qty and Rate,SL và Đơn giá,
Qty as per Stock UOM,SL theo ĐVT kho,
Qty as Per Stock UOM,SL theo ĐVT kho,
Qty Change,Thay đổi SL,
Qty Consumed Per Unit,SL tiêu hao mỗi đơn vị,
Qty for {0},SL cho {0},
Qty for which recursion isn't applicable.,SL không áp dụng đệ quy.,
Qty In Stock,SL tồn kho,
Qty in Stock UOM,SL theo ĐVT kho,
Qty of Finished Goods Item,SL Thành phẩm,
Qty of Finished Goods Item should be greater than 0.,SL Mặt hàng thành phẩm phải lớn hơn 0.,
Qty of raw materials will be decided based on the qty of the Finished Goods Item,SL nguyên liệu sẽ được xác định theo SL Mặt hàng thành phẩm,
Qty Per Unit,SL/Đơn vị,
Qty to Be Consumed,SL cần tiêu thụ,
Qty to Bill,SL cần xuất hoá đơn,
Qty to Build,SL cần dựng,
Qty to Deliver,SL cần giao,
Qty to Disassemble,SL cần tháo dỡ,
Qty to Fetch,SL cần lấy,
Qty to Manufacture,SL cần sản xuất,
Qty To Manufacture,SL cần sản xuất,
"Qty To Manufacture ({0}) cannot be a fraction for the UOM {2}. To allow this, disable '{1}' in the UOM {2}.","SL cần sản xuất ({0}) không thể là phân số cho ĐVT {2}. Để cho phép, hãy tắt '{1}' trong ĐVT {2}.",
Qty To Manufacture in the job card cannot be greater than Qty To Manufacture in the work order for the operation {0}. <br><br><b>Solution: </b> Either you can reduce the Qty To Manufacture in the job card or set the 'Overproduction Percentage For Work Order' in the {1}.,"SL cần sản xuất trong phiếu công việc không thể lớn hơn SL cần sản xuất trong lệnh sản xuất cho thao tác {0}. <br><br><b>Giải pháp: </b> Bạn có thể giảm SL cần sản xuất trong phiếu công việc, hoặc đặt 'Phần trăm sản xuất vượt mức cho Lệnh sản xuất' trong {1}.",
Qty to Order,SL cần đặt,
Qty to Produce,SL cần sản xuất,
Qty To Produce,SL cần sản xuất,
Qty to Receive,SL cần nhận,
Qty Wise Chart,Biểu đồ theo số lượng,
Qualification,Bằng cấp/Chuyên môn,
Qualification Status,Trạng thái đủ điều kiện,
Qualified,Đủ điều kiện,
Qualified By,Đủ điều kiện bởi,
Qualified on,Đủ điều kiện vào,
Quality Action,Hành động chất lượng,
Quality Action Resolution,Giải quyết Hành động chất lượng,
Quality Feedback,Phản hồi chất lượng,
Quality Feedback Parameter,Thông số Phản hồi chất lượng,
Quality Feedback Template,Mẫu Phản hồi chất lượng,
Quality Feedback Template Parameter,Thông số Mẫu phản hồi chất lượng,
Quality Goal,Mục tiêu chất lượng,
Quality Goal Objective,Mục tiêu của Mục tiêu chất lượng,
Quality Inspection,Kiểm tra chất lượng,
Quality Inspection {0} is not submitted for the item: {1},Kiểm tra chất lượng {0} chưa được nộp cho mặt hàng: {1},
Quality Inspection {0} is rejected for the item: {1},Kiểm tra chất lượng {0} bị từ chối cho mặt hàng: {1},
Quality Inspection is required for the item {0} before completing the job card {1},Bắt buộc Kiểm tra chất lượng cho mặt hàng {0} trước khi hoàn thành Phiếu công việc {1},
Quality Inspection Parameter,Thông số Kiểm tra chất lượng,
Quality Inspection Parameter Group,Nhóm thông số Kiểm tra chất lượng,
Quality Inspection Reading,Số đo Kiểm tra chất lượng,
Quality Inspection Required,Bắt buộc Kiểm tra chất lượng,
Quality Inspection Settings,Cài đặt Kiểm tra chất lượng,
Quality Inspection Template,Mẫu Kiểm tra chất lượng,
Quality Inspection Template Name,Tên Mẫu kiểm tra chất lượng,
Quality Inspection(s),Kiểm tra chất lượng,
Quality Manager,Quản lý chất lượng,
Quality Meeting,Cuộc họp chất lượng,
Quality Meeting Agenda,Chương trình Cuộc họp chất lượng,
Quality Meeting Minutes,Biên bản Cuộc họp chất lượng,
Quality Procedure,Quy trình chất lượng,
Quality Procedure Process,Tiến trình Quy trình chất lượng,
Quality Review,Đánh giá chất lượng,
Quality Review Objective,Mục tiêu Đánh giá chất lượng,
Quantity  that must be bought or sold per UOM,Số lượng phải mua hoặc bán trên mỗi ĐVT,
Quantity (A - B),Số lượng (A - B),
Quantity & Stock,Số lượng & Tồn kho,
Quantity and Amount,Số lượng và Thành tiền,
Quantity and Description,Số lượng và Mô tả,
Quantity and Rate,Số lượng và Đơn giá,
Quantity and Warehouse,Số lượng và Kho,
Quantity cannot be greater than {0} for Item {1},Số lượng không thể lớn hơn {0} cho mặt hàng {1},
Quantity Difference,Chênh lệch số lượng,
Quantity is mandatory for the selected items.,Số lượng là bắt buộc cho các mặt hàng đã chọn.,
Quantity is required,Số lượng là bắt buộc,
Quantity must be greater than zero,Số lượng phải lớn hơn 0,
"Quantity must be greater than zero, and less or equal to {0}",Số lượng phải lớn hơn 0 và nhỏ hơn hoặc bằng {0},
Quantity must be less than or equal to {0},Số lượng phải nhỏ hơn hoặc bằng {0},
Quantity must not be more than {0},Số lượng không được vượt quá {0},
Quantity of item obtained after manufacturing / repacking from given quantities of raw materials,Số lượng mặt hàng thu được sau khi sản xuất / đóng gói lại từ số lượng nguyên vật liệu đã cho,
Quantity required for Item {0} in row {1},SL cần thiết cho mặt hàng {0} ở dòng {1},
Quantity should be greater than 0,Số lượng phải lớn hơn 0,
Quantity to Make,SL cần làm,
Quantity to Manufacture,SL cần sản xuất,
Quantity to Manufacture can not be zero for the operation {0},SL cần sản xuất không thể bằng 0 cho thao tác {0},
Quantity to Manufacture must be greater than 0.,SL cần sản xuất phải lớn hơn 0.,
Quantity to Produce,SL cần sản xuất,
Quantity to Produce should be greater than zero.,SL cần sản xuất phải lớn hơn 0.,
Quantity to Scan,SL cần quét,
Quart (UK),Quart (Anh),
Quart Dry (US),Quart khô (Mỹ),
Quart Liquid (US),Quart lỏng (Mỹ),
Quarter {0} {1},Quý {0} {1},
Query Route String,Chuỗi tuyến truy vấn,
Queue Size should be between 5 and 100,Kích thước hàng đợi phải từ 5 đến 100,
Quick Journal Entry,Bút toán nhanh,
Quick Ratio,Hệ số thanh toán nhanh,
Quick Stock Balance,Số dư tồn kho nhanh,
Quintal,Tạ,
Quot Count,Số báo giá,
Quot/Lead %,Báo giá/Tiềm năng %,
Quotation {0} is cancelled,Báo giá {0} đã bị huỷ,
Quotation {0} not of type {1},Báo giá {0} không thuộc loại {1},
Quotation Amount,Thành tiền báo giá,
Quotation Item,Mặt hàng báo giá,
Quotation Lost Reason,Lý do mất báo giá,
Quotation Lost Reason Detail,Chi tiết lý do mất báo giá,
Quotation Number,Số báo giá,
Quotation To,Báo giá gửi,
quotation_item,quotation_item,
Quotations,Báo giá,
"Quotations are proposals, bids you have sent to your customers","Báo giá là các đề xuất, hồ sơ thầu bạn đã gửi cho khách hàng",
Quotations:,Báo giá:,
Quote Status,Trạng thái báo giá,
Quoted Amount,Thành tiền báo giá,
Raise Material Request When Stock Reaches Re-order Level,Tạo yêu cầu vật tư khi tồn kho đạt mức đặt hàng lại,
Raised By,Người tạo,
Raised By (Email),Người gửi (Email),
Rate (Company Currency),Đơn giá (Tệ CT),
Rate & Amount,Đơn giá & Thành tiền,
Rate and Amount,Đơn giá và Thành tiền,
Rate at which Customer Currency is converted to customer's base currency,Tỷ giá quy đổi tiền tệ khách hàng sang tiền tệ gốc của khách hàng,
Rate at which customer's currency is converted to company's base currency,Tỷ giá quy đổi tiền tệ khách hàng sang tiền tệ gốc của công ty,
Rate at which Price list currency is converted to company's base currency,Tỷ giá quy đổi tiền tệ Bảng giá sang tiền tệ gốc của công ty,
Rate at which Price list currency is converted to customer's base currency,Tỷ giá quy đổi tiền tệ Bảng giá sang tiền tệ gốc của khách hàng,
Rate at which supplier's currency is converted to company's base currency,Tỷ giá quy đổi tiền tệ nhà cung cấp sang tiền tệ gốc của công ty,
Rate at which this tax is applied,Thuế suất áp dụng cho thuế này,
Rate of '{}' items cannot be changed,Không thể thay đổi đơn giá của mặt hàng '{}',
Rate of Depreciation,Tỷ lệ khấu hao,
Rate of Depreciation (%),Tỷ lệ khấu hao (%),
Rate of Interest (%) Yearly,Lãi suất (%) hàng năm,
Rate Of Materials Based On,Đơn giá vật tư dựa trên,
Rate of Stock UOM,Đơn giá theo ĐVT kho,
Rate Of TDS As Per Certificate,Thuế suất TDS theo chứng nhận,
Rate or Discount,Đơn giá hoặc chiết khấu,
Rate or Discount is required for the price discount.,Đơn giá hoặc chiết khấu là bắt buộc cho chiết khấu giá.,
Rate Section,Phần đơn giá,
Rate With Margin,Đơn giá có biên lợi nhuận,
Rate With Margin (Company Currency),Đơn giá có biên lợi nhuận (Tệ CT),
Rates,Đơn giá,
Rates cannot be modified for quoted items,Không thể sửa đơn giá cho các mặt hàng đã báo giá,
ratings,Đánh giá,
Ratios,Tỷ lệ,
Raw Material Code,Mã nguyên vật liệu,
Raw Material Cost,Chi phí nguyên vật liệu,
Raw Material Cost (Company Currency),Chi phí nguyên vật liệu (Tệ CT),
Raw Material Cost Per Qty,Chi phí nguyên vật liệu mỗi đơn vị,
Raw Material Item,Mặt hàng nguyên vật liệu,
Raw Material Item Code,Mã mặt hàng nguyên vật liệu,
Raw Material Name,Tên nguyên vật liệu,
Raw Material Value,Giá trị nguyên vật liệu,
Raw Material Voucher No,Số chứng từ nguyên vật liệu,
Raw Material Voucher Type,Loại chứng từ nguyên vật liệu,
Raw Material Warehouse,Kho nguyên vật liệu,
Raw Materials,Nguyên vật liệu,
Raw Materials Actions,Thao tác nguyên vật liệu,
Raw Materials cannot be blank.,Nguyên vật liệu không được để trống.,
Raw Materials Consumed,Nguyên vật liệu đã tiêu hao,
Raw materials consumed qty will be validated based on FG BOM required qty,SL nguyên vật liệu tiêu hao sẽ được xác thực dựa trên SL yêu cầu theo BOM thành phẩm,
Raw Materials Consumption,Tiêu hao nguyên vật liệu,
Raw Materials Missing,Thiếu nguyên vật liệu,
Raw Materials Required,Nguyên vật liệu cần thiết,
Raw Materials Supplied,Nguyên vật liệu đã cấp,
Raw Materials Supplied Cost,Chi phí nguyên vật liệu đã cấp,
Raw Materials to Customer,Nguyên vật liệu giao khách hàng,
Raw SQL,SQL thô,
Re-open,Mở lại,
Re-order Level,Mức đặt hàng lại,
Re-order Qty,SL đặt hàng lại,
Reached Root,Đã đến gốc,
Reading 1,Số đo 1,
Reading 10,Số đo 10,
Reading 2,Số đo 2,
Reading 3,Số đo 3,
Reading 4,Số đo 4,
Reading 5,Số đo 5,
Reading 6,Số đo 6,
Reading 7,Số đo 7,
Reading 8,Số đo 8,
Reading 9,Số đo 9,
Reading Value,Giá trị đo,
Readings,Số đo,
Real Estate,Bất động sản,
Reason for Failure,Lý do thất bại,
Reason for Hold,Lý do tạm giữ,
Reason for hold:,Lý do tạm giữ:,
Reason for Leaving,Lý do nghỉ việc,
Reason For Putting On Hold,Lý do tạm giữ,
Rebuilding BTree for period ...,Đang xây dựng lại BTree cho kỳ ...,
Recalculate Batch Qty,Tính lại SL lô,
Recalculate Bin Qty,Tính lại SL theo Bin,
Recalculate Incoming/Outgoing Rate,Tính lại đơn giá nhập/xuất,
Receipt,Nhận,
Receipt Document,Chứng từ nhận,
Receipt Document Type,Loại chứng từ nhận,
Receipt Items,Mặt hàng nhận,
Receivable,Phải thu,
Receivable / Payable Account,TK phải thu / phải trả,
Receivable Account,TK phải thu,
Receivable/Payable Account,TK phải thu/phải trả,
Receivable/Payable Account: {0} doesn't belong to company {1},TK phải thu/phải trả: {0} không thuộc công ty {1},
Receivables,Phải thu,
Receive,Nhận,
Receive from Customer,Nhận từ khách hàng,
Received Amount,Số tiền đã nhận,
Received Amount (Company Currency),Số tiền đã nhận (Tệ CT),
Received Amount After Tax,Số tiền đã nhận sau thuế,
Received Amount After Tax (Company Currency),Số tiền đã nhận sau thuế (Tệ CT),
Received Amount cannot be greater than Paid Amount,Số tiền đã nhận không thể lớn hơn số tiền đã thanh toán,
Received and Accepted,Đã nhận và chấp nhận,
received from,Nhận từ,
Received From,Nhận từ,
Received On,Nhận ngày,
Received Qty,SL đã nhận,
Received Qty Amount,Thành tiền SL đã nhận,
Received Qty in Stock UOM,SL đã nhận theo ĐVT kho,
Received Quantity,SL đã nhận,
Received Stock Entries,Phiếu kho đã nhận,
Receiver List,Danh sách người nhận,
Receiver List is empty. Please create Receiver List,Danh sách người nhận đang trống. Vui lòng tạo Danh sách người nhận,
Receiving,Đang nhận,
Recent Orders,Đơn hàng gần đây,
Recent Transactions,Giao dịch gần đây,
Recipient Message And Payment Details,Tin nhắn người nhận và chi tiết thanh toán,
Reconcile,Đối soát,
Reconcile All Serial Nos / Batches,Đối soát tất cả số sê-ri / lô,
Reconcile Effect On,Đối soát có hiệu lực vào,
Reconcile Entries,Đối soát các bút toán,
Reconcile on Advance Payment Date,Đối soát theo ngày thanh toán ứng trước,
Reconcile the Bank Transaction,Đối soát giao dịch ngân hàng,
Reconciled,Đã đối soát,
Reconciled Entries,Bút toán đã đối soát,
Reconciliation Date,Ngày đối soát,
Reconciliation Error Log,Nhật ký lỗi đối soát,
Reconciliation Logs,Nhật ký đối soát,
Reconciliation Progress,Tiến trình đối soát,
Reconciliation Queue Size,Kích thước hàng đợi đối soát,
Reconciliation Statement,Biên bản đối soát,
Reconciliation Takes Effect On,Đối soát có hiệu lực vào,
Recording HTML,HTML ghi âm,
Recording URL,URL ghi âm,
Records,Bản ghi,
Recoverable Standard Rated expenses should not be set when Reverse Charge Applicable is Y,Không nên đặt chi phí có thuế suất tiêu chuẩn có thể thu hồi khi 'Áp dụng tính thuế ngược chiều' là Y,
Recreate Stock Ledgers,Tạo lại sổ kho,
Recurse Every (As Per Transaction UOM),Lặp lại mỗi (theo ĐVT giao dịch),
Recurse Over Qty cannot be less than 0,SL lặp lại không được nhỏ hơn 0,
Recursive Discounts with Mixed condition is not supported by the system,Hệ thống không hỗ trợ chiết khấu đệ quy với điều kiện hỗn hợp,
Redeem Against,Đổi điểm theo,
Redeem Loyalty Points,Đổi điểm tích luỹ,
Redeemed Points,Điểm đã đổi,
Redemption,Đổi thưởng,
Redemption Account,Tài khoản đổi thưởng,
Redemption Cost Center,Trung tâm chi phí đổi thưởng,
Redemption Date,Ngày đổi thưởng,
Ref Code,Mã tham chiếu,
Ref Date,Ngày tham chiếu,
Reference #{0} dated {1},Tham chiếu #{0} ngày {1},
Reference Date for Early Payment Discount,Ngày tham chiếu cho chiết khấu thanh toán sớm,
Reference Detail,Chi tiết tham chiếu,
Reference Detail No,Số chi tiết tham chiếu,
Reference Doctype must be one of {0},Loại tài liệu tham chiếu phải là một trong {0},
Reference Due Date,Ngày đến hạn tham chiếu,
Reference Exchange Rate,Tỷ giá hối đoái tham chiếu,
Reference for Reservation,Tham chiếu để giữ chỗ,
Reference No,Số tham chiếu,
Reference No & Reference Date is required for {0},Số tham chiếu & Ngày tham chiếu là bắt buộc cho {0},
Reference No and Reference Date is mandatory for Bank transaction,Số tham chiếu và Ngày tham chiếu là bắt buộc cho giao dịch ngân hàng,
Reference No is mandatory if you entered Reference Date,Số tham chiếu là bắt buộc nếu bạn đã nhập Ngày tham chiếu,
Reference No.,Số tham chiếu.,
Reference Number,Số tham chiếu,
Reference number of the invoice from the previous system,Số tham chiếu của hoá đơn từ hệ thống cũ,
Reference Purchase Receipt,Phiếu nhập hàng tham chiếu,
Reference Row,Dòng tham chiếu,
Reference Row #,Dòng tham chiếu #,
"Reference: {0}, Item Code: {1} and Customer: {2}","Tham chiếu: {0}, Mã hàng: {1} và Khách hàng: {2}",
References {0} of type {1} had no outstanding amount left before submitting the Payment Entry. Now they have a negative outstanding amount.,Tham chiếu {0} loại {1} không còn số tiền còn nợ trước khi nộp Bút toán thanh toán. Hiện tại chúng có số tiền còn nợ âm.,
References to Sales Invoices are Incomplete,Tham chiếu đến Hoá đơn bán hàng chưa đầy đủ,
References to Sales Orders are Incomplete,Tham chiếu đến Đơn bán hàng chưa đầy đủ,
Referral Code,Mã giới thiệu,
Referral Sales Partner,Đối tác bán hàng giới thiệu,
Refresh Plaid Link,Làm mới liên kết Plaid,
"Regards,","Trân trọng,",
Regenerate Stock Closing Entry,Tạo lại Phiếu đóng kỳ tồn kho,
Registers,Sổ đăng ký,
Registration Details,Chi tiết đăng ký,
Regular,Thường,
Rejected Qty,SL từ chối,
Rejected Quantity,SL từ chối,
Rejected Serial and Batch Bundle,Gói số sê-ri và lô từ chối,
Rejected Serial No,Số sê-ri từ chối,
Rejected Warehouse,Kho hàng từ chối,
Rejected Warehouse and Accepted Warehouse cannot be same.,Kho hàng từ chối và Kho nhận không thể giống nhau.,
Related,Liên quan,
Relation,Quan hệ,
Release Date,Ngày phát hành,
Release date must be in the future,Ngày phát hành phải trong tương lai,
Relieving Date,Ngày nghỉ việc,
Remaining,Còn lại,
Remaining Amount,Số tiền còn lại,
Remaining Balance,Số dư còn lại,
Remark,Ghi chú,
Remarks Column Length,Độ dài cột ghi chú,
Remarks:,Ghi chú:,
Remove item if charges is not applicable to that item,Bỏ mặt hàng nếu phí không áp dụng cho mặt hàng đó,
Remove Parent Row No in Items Table,Bỏ Số dòng cha trong bảng Mặt hàng,
Remove Zero Counts,Loại bỏ số đếm bằng 0,
Removed {0} rows with zero document count. Please save to persist changes.,Đã xoá {0} dòng có số lượng tài liệu bằng 0. Vui lòng lưu để giữ thay đổi.,
Removed items with no change in quantity or value.,Đã xoá các mặt hàng không có thay đổi về số lượng hoặc giá trị.,
Removing rows without exchange gain or loss,Đang xoá các dòng không có lãi/lỗ tỷ giá,
Rename Attribute Value in Item Attribute.,Đổi tên giá trị thuộc tính trong Thuộc tính mặt hàng.,
Rename jobs for doctype {0} have been enqueued.,Tác vụ đổi tên cho DocType {0} đã được đưa vào hàng đợi.,
Rename jobs for doctype {0} have not been enqueued.,Tác vụ đổi tên cho DocType {0} chưa được đưa vào hàng đợi.,
Rename Log,Nhật ký đổi tên,
Rename Not Allowed,Không được phép đổi tên,
Rename Tool,Công cụ đổi tên,
"Renaming it is only allowed via parent company {0}, to avoid mismatch.","Đổi tên chỉ được phép qua công ty mẹ {0}, để tránh sai lệch.",
Rent,Tiền thuê,
Rented,Đã thuê,
Reorder Level,Mức đặt hàng lại,
Reorder level based on Warehouse,Mức đặt hàng lại theo kho,
Reorder Qty,SL đặt hàng lại,
Repack,Đóng gói lại,
Repair,Sửa chữa,
Repair Asset,Sửa chữa tài sản,
Repair Cost,Chi phí sửa chữa,
Repair Purchase Invoices,Hoá đơn mua hàng sửa chữa,
Repair Status,Trạng thái sửa chữa,
Repeat Customer Revenue,Doanh thu khách hàng quay lại,
Repeat Customers,Khách hàng quay lại,
Replace,Thay thế,
"Replace a particular BOM in all other BOMs where it is used. It will replace the old BOM link, update cost and regenerate ""BOM Explosion Item"" table as per new BOM.
It also updates latest price in all the BOMs.","Thay thế một BOM cụ thể trong tất cả các BOM khác đang sử dụng nó. Sẽ thay thế liên kết BOM cũ, cập nhật chi phí và tạo lại bảng ""Mặt hàng bung BOM"" theo BOM mới.
Cũng cập nhật giá mới nhất trong tất cả các BOM.",
Replace BOM,Thay thế BOM,
Report an Issue,Báo cáo sự cố,
Report Date,Ngày báo cáo,
Report Error,Báo cáo lỗi,
Report Line Items,Dòng mặt hàng báo cáo,
Report Template,Mẫu báo cáo,
Report Type is mandatory,Loại báo cáo là bắt buộc,
Reporting Currency,Tiền tệ báo cáo,
Reporting Currency Exchange Not Found,Không tìm thấy tỷ giá hối đoái tiền tệ báo cáo,
Reporting Currency Exchange Rate,Tỷ giá hối đoái tiền tệ báo cáo,
Reports to,Báo cáo cho,
Repost Accounting Ledger,Đăng lại sổ cái kế toán,
Repost Accounting Ledger Items,Mục đăng lại sổ cái kế toán,
Repost Accounting Ledger Settings,Cài đặt đăng lại sổ cái kế toán,
Repost Allowed Types,Các loại được phép đăng lại,
Repost Error Log,Nhật ký lỗi đăng lại,
Repost has started in the background,Đăng lại đã bắt đầu chạy nền,
Repost in background,Đăng lại chạy nền,
Repost Item Valuation,Đăng lại định giá hàng hoá,
Repost Item Valuation restarted for selected failed records.,Đã khởi động lại Đăng lại định giá hàng hoá cho các bản ghi thất bại đã chọn.,
Repost Only Accounting Ledgers,Chỉ đăng lại sổ cái kế toán,
Repost Payment Ledger,Đăng lại sổ cái thanh toán,
Repost Payment Ledger Items,Mục đăng lại sổ cái thanh toán,
Repost started in the background,Đăng lại đã bắt đầu chạy nền,
Repost Status,Trạng thái đăng lại,
Reposting Completed {0}%,Đã đăng lại {0}%,
Reposting Data File,Tệp dữ liệu đăng lại,
Reposting entries created: {0},Đã tạo bút toán đăng lại: {0},
Reposting for Item-Wh Completed {0}%,Đăng lại theo Mặt hàng-Kho hoàn thành {0}%,
Reposting for Vouchers Completed {0}%,Đăng lại chứng từ hoàn thành {0}%,
Reposting has been started in the background.,Đăng lại đã bắt đầu chạy nền.,
Reposting in the background.,Đang đăng lại nền.,
Reposting Info,Thông tin đăng lại,
Reposting Item and Warehouse,Đang đăng lại mặt hàng và kho,
Reposting Progress,Tiến trình đăng lại,
Reposting Reference,Tham chiếu đăng lại,
Reposting Vouchers,Đang đăng lại chứng từ,
Reposting Vouchers Progress,Tiến trình đăng lại chứng từ,
Represents a Financial Year. All accounting entries and other major transactions are tracked against the Fiscal Year.,Đại diện cho một Năm tài chính. Tất cả bút toán kế toán và giao dịch lớn khác được theo dõi theo Năm tài chính.,
Represents Company,Đại diện công ty,
Reqd by date,Cần trước ngày,
Reqd By Date,Cần trước ngày,
Reqd Qty (BOM),SL yêu cầu (BOM),
Reqired Qty,SL yêu cầu,
Request for,Yêu cầu cho,
Request for Information,Yêu cầu thông tin,
Request for Quotation,Yêu cầu báo giá,
Request For Quotation,Yêu cầu báo giá,
Request for Quotation Item,Mặt hàng yêu cầu báo giá,
Request for Quotation Supplier,Nhà cung cấp yêu cầu báo giá,
Request for Raw Materials,Yêu cầu nguyên vật liệu,
Request Parameters,Tham số yêu cầu,
Request Type,Loại yêu cầu,
Requested,Đã yêu cầu,
Requested Qty,SL yêu cầu,
"Requested Qty: Quantity requested for purchase, but not ordered.",SL yêu cầu: SL yêu cầu mua hàng nhưng chưa đặt hàng.,
Requesting Site,Site yêu cầu,
Requestor,Người yêu cầu,
Required Date,Ngày yêu cầu,
Required Items,Mặt hàng cần thiết,
Required On,Cần vào,
Required Qty,SL cần thiết,
Required Quantity,SL cần thiết,
Requirement,Yêu cầu,
Requires Fulfilment,Yêu cầu thực hiện,
Research,Nghiên cứu,
Research & Development,Nghiên cứu & Phát triển,
Researcher,Nghiên cứu viên,
"Reselect, if the chosen address is edited after save",Chọn lại nếu địa chỉ đã chọn được chỉnh sửa sau khi lưu,
"Reselect, if the chosen contact is edited after save",Chọn lại nếu liên hệ đã chọn được chỉnh sửa sau khi lưu,
Reseller,Đại lý bán lại,
Resend Payment Email,Gửi lại email thanh toán,
Reservation,Giữ chỗ,
Reservation Based On,Giữ chỗ dựa trên,
Reserve,Giữ chỗ,
Reserve for Raw Materials,Giữ chỗ cho nguyên vật liệu,
Reserve for Sub-assembly,Giữ chỗ cho cụm lắp ráp,
Reserve Stock,Giữ chỗ tồn kho,
Reserve Warehouse,Kho giữ chỗ,
Reserved,Đã giữ chỗ,
Reserved Batch Conflict,Xung đột lô đã giữ chỗ,
Reserved for manufacturing,Đã giữ chỗ cho sản xuất,
Reserved for POS Transactions,Đã giữ chỗ cho giao dịch POS,
Reserved for Production,Đã giữ chỗ cho sản xuất,
Reserved for Production Plan,Đã giữ chỗ cho Kế hoạch sản xuất,
Reserved for sale,Đã giữ chỗ để bán,
Reserved for sub contracting,Đã giữ chỗ cho gia công ngoài,
Reserved for Sub Contracting,Đã giữ chỗ cho gia công ngoài,
Reserved Inventory,Tồn kho đã giữ chỗ,
Reserved Qty,SL đã giữ chỗ,
"Reserved Qty ({0}) cannot be a fraction. To allow this, disable '{1}' in UOM {3}.","SL đã giữ chỗ ({0}) không thể là phân số. Để cho phép, hãy tắt '{1}' trong ĐVT {3}.",
Reserved Qty for Production,SL đã giữ chỗ cho sản xuất,
Reserved Qty for Production Plan,SL đã giữ chỗ cho Kế hoạch sản xuất,
Reserved Qty for Production: Raw materials quantity to make manufacturing items.,SL đã giữ chỗ cho sản xuất: SL nguyên vật liệu để sản xuất các mặt hàng.,
Reserved Qty for Subcontract,SL đã giữ chỗ cho gia công ngoài,
Reserved Qty for Subcontract: Raw materials quantity to make subcontracted items.,SL đã giữ chỗ cho gia công ngoài: SL nguyên vật liệu để sản xuất mặt hàng gia công ngoài.,
Reserved Qty should be greater than Delivered Qty.,SL đã giữ chỗ phải lớn hơn SL đã giao.,
"Reserved Qty: Quantity ordered for sale, but not delivered.",SL đã giữ chỗ: SL đã đặt hàng bán nhưng chưa giao.,
Reserved Quantity,SL đã giữ chỗ,
Reserved Quantity for Production,SL đã giữ chỗ cho sản xuất,
Reserved Serial No.,Số sê-ri đã giữ chỗ.,
Reserved Stock for Batch,Tồn kho đã giữ chỗ cho lô,
Reserved Stock for Raw Materials,Tồn kho đã giữ chỗ cho nguyên vật liệu,
Reserved Stock for Sub-assembly,Tồn kho đã giữ chỗ cho cụm lắp ráp,
Reserved Warehouse is mandatory for the Item {item_code} in Raw Materials supplied.,Kho giữ chỗ là bắt buộc cho Mặt hàng {item_code} trong Nguyên vật liệu cấp.,
Reserving Stock...,Đang giữ chỗ tồn kho...,
Reset Company Default Values,Đặt lại giá trị mặc định của công ty,
Reset Plaid Link,Đặt lại liên kết Plaid,
Reset Raw Materials Table,Đặt lại bảng nguyên vật liệu,
Reset Service Level Agreement,Đặt lại Thoả thuận mức dịch vụ,
Resetting Service Level Agreement.,Đang đặt lại Thoả thuận mức dịch vụ.,
Resignation Letter Date,Ngày nộp đơn nghỉ,
